ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240615-15,yes,32,44,12.0,77524.01,77549.49,0.00033,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR231100-00,no,34,54,12.0,77951.95,77928.40,0.00030,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR230630-30,no,28,45,27.0,77209.42,77233.64,0.00031,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR221815-15,no,32,53,15.0,78796.67,78791.08,0.00007,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR211830-30,yes,29,43,14.0,75570.71,75585.10,0.00019,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR211300-00,no,32,56,12.0,75935.54,75906.28,0.00039,0,1,68.0,3.05,64.95
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR191830-30,yes,30,47,17.0,74020.63,74047.31,0.00036,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR191045-45,yes,34,45,11.0,75987.13,76001.65,0.00019,1,1,66.0,3.14,62.86
KXBTC15M-26APR190445-45,yes,30,65,35.0,75225.28,75204.77,0.00027,1,1,70.0,2.94,67.06
KXBTC15M-26APR190245-45,no,34,40,26.0,75424.90,75447.72,0.00030,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR181430-30,yes,29,41,12.0,75814.27,75833.99,0.00026,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR181330-30,no,34,55,11.0,75886.09,75861.99,0.00032,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR180630-30,no,26,43,31.0,76285.54,76314.14,0.00037,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR180615-15,yes,32,47,15.0,76618.40,76632.20,0.00018,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR180500-00,no,16,47,37.0,76542.83,76553.78,0.00014,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR180400-00,no,32,53,15.0,77020.67,77016.72,0.00005,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR171200-00,no,26,53,21.0,77575.86,77558.51,0.00022,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR170345-45,no,22,39,39.0,74962.60,74979.54,0.00023,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR170230-30,no,30,43,27.0,74760.30,74779.86,0.00026,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR161400-00,yes,34,48,14.0,74396.31,74411.85,0.00021,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR150830-30,yes,30,43,13.0,74197.92,74221.50,0.00032,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR150415-15,yes,32,53,21.0,73776.00,73762.70,0.00018,1,1,68.0,3.05,64.95
KXBTC15M-26APR141900-00,no,34,51,15.0,74027.00,74020.90,0.00008,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR141515-15,no,32,54,14.0,74147.26,74125.07,0.00030,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR140845-45,no,26,54,20.0,74329.40,74317.94,0.00015,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR132230-30,yes,34,45,11.0,74484.00,74498.73,0.00020,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR130530-30,yes,34,47,13.0,70715.93,70727.40,0.00016,1,1,66.0,3.14,62.86
KXBTC15M-26APR130415-15,yes,32,47,15.0,70830.61,70836.59,0.00008,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR130230-30,yes,34,44,10.0,70999.27,71017.35,0.00025,1,1,66.0,3.14,62.86
KXBTC15M-26APR111630-30,yes,30,58,28.0,73574.12,73548.34,0.00035,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR082345-45,no,32,58,10.0,70940.24,70915.65,0.00035,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR081745-45,yes,25,52,27.0,71708.19,71703.32,0.00007,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR080230-30,yes,32,41,9.0,71786.62,71812.50,0.00036,1,1,68.0,3.05,64.95
KXBTC15M-26APR070745-45,yes,32,50,18.0,68385.50,68384.06,0.00002,1,1,68.0,3.05,64.95
KXBTC15M-26APR070315-15,yes,26,56,30.0,68596.75,68582.09,0.00021,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR070030-30,no,30,56,14.0,68656.52,68634.26,0.00032,0,1,70.0,2.94,67.06
KXBTC15M-26APR051615-15,no,30,43,27.0,67321.52,67335.23,0.00020,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR051445-45,no,31,57,12.0,67294.92,67285.07,0.00015,1,0,-31.0,2.99,-33.99
KXBTC15M-26APR051315-15,no,34,55,11.0,67207.02,67194.88,0.00018,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR051300-00,yes,28,61,33.0,67322.18,67298.36,0.00035,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR050345-45,yes,34,55,21.0,66815.28,66804.82,0.00016,0,0,-34.0,3.14,-37.14
