ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR211830-30,yes,29,43,14.0,75570.71,75585.10,0.00019,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR201345-45,yes,28,46,18.0,75757.50,75776.11,0.00025,1,1,72.0,2.82,69.18
KXBTC15M-26APR191515-15,no,20,46,34.0,74789.58,74803.90,0.00019,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR181430-30,yes,29,41,12.0,75814.27,75833.99,0.00026,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR180515-15,yes,29,48,19.0,76754.51,76763.60,0.00012,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR171200-00,no,26,53,21.0,77575.86,77558.51,0.00022,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR170345-45,no,22,39,39.0,74962.60,74979.54,0.00023,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR170045-45,no,50,40,10.0,74757.28,74776.09,0.00025,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR140845-45,no,26,54,20.0,74329.40,74317.94,0.00015,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR130215-15,no,28,44,28.0,70862.42,70877.38,0.00021,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR100715-15,no,52,36,12.0,71907.93,71924.08,0.00022,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR081745-45,yes,25,52,27.0,71708.19,71703.32,0.00007,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR070315-15,yes,26,56,30.0,68596.75,68582.09,0.00021,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR050615-15,yes,20,38,18.0,67001.17,67019.69,0.00028,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR050100-00,yes,50,63,13.0,67137.76,67120.02,0.00026,0,0,-50.0,3.50,-53.50
KXBTC15M-26APR041800-00,no,20,56,24.0,67297.86,67292.44,0.00008,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR041745-45,no,50,38,12.0,67261.49,67274.06,0.00019,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR041245-45,yes,29,51,22.0,67456.46,67454.99,0.00002,1,1,71.0,2.88,68.12
KXBTC15M-26APR040530-30,yes,51,69,18.0,66990.35,66980.39,0.00015,0,0,-51.0,3.50,-54.50
KXBTC15M-26APR040430-30,yes,50,60,10.0,67012.67,66999.43,0.00020,1,1,50.0,3.50,46.50
KXBTC15M-26APR032000-00,no,24,62,14.0,66883.35,66863.78,0.00029,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR031800-00,yes,50,62,12.0,66953.26,66938.68,0.00022,1,1,50.0,3.50,46.50
KXBTC15M-26APR030615-15,yes,29,48,19.0,66856.07,66862.78,0.00010,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR022100-00,yes,28,44,16.0,66802.60,66819.53,0.00025,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR021615-15,yes,22,57,35.0,66997.36,66978.70,0.00028,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR312015-15,yes,26,51,25.0,68245.47,68243.74,0.00003,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR302315-15,yes,20,45,25.0,67927.78,67944.68,0.00025,0,0,-20.0,2.24,-22.24
KXBTC15M-26MAR301915-15,yes,29,44,15.0,66721.38,66739.83,0.00028,0,0,-29.0,2.88,-31.88
KXBTC15M-26MAR300615-15,yes,22,64,42.0,67470.48,67456.25,0.00021,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR290615-15,yes,29,44,15.0,66569.70,66578.03,0.00013,0,0,-29.0,2.88,-31.88
KXBTC15M-26MAR281615-15,no,26,51,23.0,66866.67,66865.04,0.00002,1,0,-26.0,2.69,-28.69
KXBTC15M-26MAR280945-45,no,28,48,24.0,66394.08,66398.96,0.00007,1,0,-28.0,2.82,-30.82
KXBTC15M-26MAR262100-00,yes,29,45,16.0,68652.28,68672.23,0.00029,1,1,71.0,2.88,68.12
